index,name,description,eso_link,img,reverse
0,The Fool,0,https://www.esotericmeanings.com/thoth-fool-tarot-card-tutorial/,0,FALSE
1,The Fool Reversed,0,https://www.esotericmeanings.com/thoth-fool-tarot-card-tutorial/,0,TRUE
2,The Magician,I,https://www.esotericmeanings.com/thoth-magus-tarot-card-tutorial/,1,FALSE
3,The Magician Reversed,I,https://www.esotericmeanings.com/thoth-magus-tarot-card-tutorial/,1,TRUE
4,The Priestess,II,https://www.esotericmeanings.com/thoth-priestess-tarot-card-tutorial/,2,FALSE
5,The Priestess Reversed,II,https://www.esotericmeanings.com/thoth-priestess-tarot-card-tutorial/,2,TRUE
6,The Empress,III,https://www.esotericmeanings.com/thoth-empress-tarot-card/,3,FALSE
7,The Empress Reversed,III,https://www.esotericmeanings.com/thoth-empress-tarot-card/,3,TRUE
8,The Emperor,IV,https://www.esotericmeanings.com/thoth-emperor-tarot-card-tutorial/,4,FALSE
9,The Emperor Reversed,IV,https://www.esotericmeanings.com/thoth-emperor-tarot-card-tutorial/,4,TRUE
10,The Hierophant,V,https://www.esotericmeanings.com/thoth-hierophant-tarot-card-tutorial/,5,FALSE
11,The Hierophant Reversed,V,https://www.esotericmeanings.com/thoth-hierophant-tarot-card-tutorial/,5,TRUE
12,The Lovers,VI,https://www.esotericmeanings.com/thoth-lovers-tarot-card-tutorial/,6,FALSE
13,The Lovers Reversed,VI,https://www.esotericmeanings.com/thoth-lovers-tarot-card-tutorial/,6,TRUE
14,The Chariot,VII,https://www.esotericmeanings.com/thoth-chariot-tarot-card-tutorial/,7,FALSE
15,The Chariot Reversed,VII,https://www.esotericmeanings.com/thoth-chariot-tarot-card-tutorial/,7,TRUE
16,Adjustment,VIII,https://www.esotericmeanings.com/thoth-adjustment-tarot-card-tutorial/,8,FALSE
17,Adjustment Reversed,VIII,https://www.esotericmeanings.com/thoth-adjustment-tarot-card-tutorial/,8,TRUE
18,The Hermit,IX,https://www.esotericmeanings.com/thoth-hermit-tarot-card-tutorial/,9,FALSE
19,The Hermit Reversed,IX,https://www.esotericmeanings.com/thoth-hermit-tarot-card-tutorial/,9,TRUE
20,Fortune,X,https://www.esotericmeanings.com/thoth-fortune-tarot-card-tutorial/,10,FALSE
21,Fortune Reversed,X,https://www.esotericmeanings.com/thoth-fortune-tarot-card-tutorial/,10,TRUE
22,Lust,XI,https://www.esotericmeanings.com/thoth-lust-tarot-card-tutorial/,11,FALSE
23,Lust Reversed,XI,https://www.esotericmeanings.com/thoth-lust-tarot-card-tutorial/,11,TRUE
24,The Hanged Man,XII,https://www.esotericmeanings.com/thoth-hanged-man-tarot-card-tutorial/,12,FALSE
25,The Hanged Man Reversed,XII,https://www.esotericmeanings.com/thoth-hanged-man-tarot-card-tutorial/,12,TRUE
